fishery,area,year,sex,maturity,shell condition,size,count
RKF,all EBS,2013,male,undetermined,new shell,128,1
RKF,all EBS,2013,male,undetermined,new shell,129,1
RKF,all EBS,2013,male,undetermined,new shell,133,1
RKF,all EBS,2013,male,undetermined,new shell,134,1
RKF,all EBS,2013,male,undetermined,new shell,138,1
RKF,all EBS,2013,male,undetermined,new shell,140,3
RKF,all EBS,2013,male,undetermined,new shell,141,2
RKF,all EBS,2013,male,undetermined,new shell,142,1
RKF,all EBS,2013,male,undetermined,new shell,144,2
RKF,all EBS,2013,male,undetermined,new shell,145,1
RKF,all EBS,2013,male,undetermined,new shell,147,3
RKF,all EBS,2013,male,undetermined,new shell,149,2
RKF,all EBS,2013,male,undetermined,new shell,150,3
RKF,all EBS,2013,male,undetermined,new shell,151,2
RKF,all EBS,2013,male,undetermined,new shell,152,2
RKF,all EBS,2013,male,undetermined,new shell,155,1
RKF,all EBS,2013,male,undetermined,new shell,157,3
RKF,all EBS,2013,male,undetermined,new shell,158,4
RKF,all EBS,2013,male,undetermined,new shell,160,3
RKF,all EBS,2013,male,undetermined,new shell,161,5
RKF,all EBS,2013,male,undetermined,new shell,162,1
RKF,all EBS,2013,male,undetermined,new shell,163,5
RKF,all EBS,2013,male,undetermined,new shell,164,5
RKF,all EBS,2013,male,undetermined,new shell,166,2
RKF,all EBS,2013,male,undetermined,new shell,167,1
RKF,all EBS,2013,male,undetermined,new shell,168,2
RKF,all EBS,2013,male,undetermined,new shell,169,1
RKF,all EBS,2013,male,undetermined,new shell,170,1
RKF,all EBS,2013,male,undetermined,new shell,171,1
RKF,all EBS,2013,male,undetermined,new shell,173,3
RKF,all EBS,2013,male,undetermined,old shell,127,1
RKF,all EBS,2013,male,undetermined,old shell,150,1
RKF,all EBS,2014,male,undetermined,new shell,128,1
RKF,all EBS,2014,male,undetermined,new shell,132,3
RKF,all EBS,2014,male,undetermined,new shell,133,1
RKF,all EBS,2014,male,undetermined,new shell,135,2
RKF,all EBS,2014,male,undetermined,new shell,136,2
RKF,all EBS,2014,male,undetermined,new shell,137,6
RKF,all EBS,2014,male,undetermined,new shell,138,1
RKF,all EBS,2014,male,undetermined,new shell,139,5
RKF,all EBS,2014,male,undetermined,new shell,140,2
RKF,all EBS,2014,male,undetermined,new shell,141,4
RKF,all EBS,2014,male,undetermined,new shell,142,6
RKF,all EBS,2014,male,undetermined,new shell,143,2
RKF,all EBS,2014,male,undetermined,new shell,144,6
RKF,all EBS,2014,male,undetermined,new shell,145,2
RKF,all EBS,2014,male,undetermined,new shell,146,4
RKF,all EBS,2014,male,undetermined,new shell,147,6
RKF,all EBS,2014,male,undetermined,new shell,148,3
RKF,all EBS,2014,male,undetermined,new shell,149,2
RKF,all EBS,2014,male,undetermined,new shell,150,4
RKF,all EBS,2014,male,undetermined,new shell,151,1
RKF,all EBS,2014,male,undetermined,new shell,153,3
RKF,all EBS,2014,male,undetermined,new shell,154,1
RKF,all EBS,2014,male,undetermined,new shell,155,2
RKF,all EBS,2014,male,undetermined,new shell,156,1
RKF,all EBS,2014,male,undetermined,new shell,157,1
RKF,all EBS,2014,male,undetermined,new shell,159,3
